title,user_name,rating,review_text
Wisata Ziarah Pulau Cangkir,Ryan Almer,5.0,"Salah satu kawasan wisata rakyat bersejarah dengan pemandangan bangunan2 jaman kolonial cocok untuk tempat bersantai bersama keluarga, terdapat berbagai jenis hiburan dan tempat jajanan dari kelas kaki lima sampai restaurant mewah. Kalau malam ada live musiknya"
Taman Langit Gunung Banyak,Ciaba'al Tv,4.0,"Kawasan wisata dengan bangunan-bangunan tuanya. Cocok untuk hunting foto, karena bentuk bangunannya khas jaman Belanda. Terdapat juga museum wayang, dan keramik di sekitarnya. Kita juga bisa berkeliling sambil menyewa sepeda. Tapi saya kapok parkir motor bukan di tempat resminya."
Taman Pandang Istana,Fer sam,5.0,"Kawasan kota tua ini sudah mengalami proses renovasi yang cukup ekselen. Walaupun dalamnya sudah mengalami banyak perubahan namun ekterior dipertahankan dengan sangat bagus. Sejumlah bangunan bahkan telah dijadikan museum. Seperti bekas kantor gubernur jadi museum Sejarah Jakarta atau museum Fatahillah. Bahkan bekas kantor pos dijadikan booth-booth sejumlah umkm.

Di pusat kota tua ini dijadikan Taman Fatahillah dengan renovasi paving atau batu alam. Ada atraksi manusia silver, bekas rel kereta api yang dibungkus kaca, penyewaan sepeda, booth-booth jualan dan warung makan."
DESA WISATA PINGE,Mohammad Anom,4.0,"🟢 viewnya bagus sekali, sangat disarankan untuk karyawan sekitar jakut jakpus jakbar utk sesekali pulang kantor jln jln ke kotu, melepas penat sehabis seharian kerja lihat komputer yg ga seberapa itu.

cocok dateng pagi atau sore (sunset) dan di hari kerja (tidak terlalu ramai)

🔴 kurang toilet umum aja sih, bingung mau pake toilet harus kemana, sama tong sampah deket cafe batavia itu kebuka lebar bikin bau kemana mana"
Pemandian Sumber Pocong,Abas Ade,4.0,"Kota yang penuh sejarah dan icon jakarta serta edukasi dan wisata yang cukup lengkap.Dengan saran transportasi yang nyaman bisa jadi pilihan terbaik untuk keluarga dan rekan2.Jangan lupa selalu membawa bekal makanan dan minuman karena area yang asik untuk menjelajah.
Banyak toko souvenir dan juga jajanan."
Situ Cihaniwung,Theophilus Merta Adnyana,2.0,Yg mau kesini baiknya naik KRL atau trans jakarta. Susah dpt tempat parkir. Mau cb terbangun drone (dronnie: yg mundur naik keatas dan kembali). Tapi gak boleh sama security. Haddeeeehhhhhh
Leuwi Hejo,Syamsul Alim,5.0,"Datang kesini udah lewat jam 8 malam. ada yg live music di salah satu sudut, rame dikelilingi pengunjung.
Mulai foto², cari angle yg bagus, cekrek².
Terpesona lihat gedung gedung di sekeliling lapangan. bangunan tua yg terawat.
Tak lama, terdengat suara pemberitahuan dari oengeras suara, batas kunjung jam 9 malam.
Dan benar saja, kurang 10e ut, suara sirine mirip di mobil pol pp mulai terdengar
pengunjung berangsur bubar, puas meski hanya sebentar"
Taman Langit Gunung Banyak,riyah faradies,3.0,"hhmm ekspektasiku ketinggian keknya.
Kesana weekend agak sorean, memang rame.
Tapi jujur kayak nggak yg waah banget.

1. Toilet umum malah ditutup. Adanya toilet berbayar deket pintu masuk.
2. Cari parkir mobil buseeet susah banget.
3. Penjual makananya sama kek di pasar malem, bahkan dibanyak tempat, nggak iconic.
4. Terlalu liar yg pada duduk, aturan mah jangan sembarangan duduk gitu. Walopun yaaa sahsah aja sih.
5. Bagus buat foto, tapi tidak semua bisa dimasukin.
6. Pas mau masuk kawasan buseet muter--muter, karna jalannya diperbaiki dan sempit kalli ya..

Yg bingung, naik aja Krl, turun jakarta kota atau busway TJ."
Pemandian Sumber Pocong,VICKY DANANG HARDIANSYAH,5.0,"Tempat historical di Jakarta yang bangunannya terjaga dengan baik. Sering diadakan festival atau acara di tempat ini. Bagus utk mengenalkan rasa cinta budaya dan sejarah kepada anak kecil, karena bangsa yg besar adalah bangsa yg mengenal dan mencintai sejarahnya. Selain itu juga terdapat museum disekelilingnya."
Monumen Juang 45,Djemba Dje,5.0,"datang saat habis dhuhur siang bolong panas kentang kentang wajib bawa topi atau payung n kacamata gaes, masuk kota tuanya aj gratis tp klo mau masuk ke museum2 nya bayar yaa...jgn khawatir kelaparan ada resto makanan n indomaret lengkap, cocok utk liburan keluarga, byk spot foto n anak2 bisa lari2an tanpa byk mobil yg wara wiri. bisa sewa sepeda jg utk keliling.."
Tretes Wisata Alam,MR Ilman Huda,4.0,"Bagus di pagi hari, kalau siang sudah panas. Pengalaman lewat waktu malam tidak enak. Penginapan saya disana, kalau malam ada jalan yang ditutup dijaga satpam. Oke ga boleh lagi masuk. Tapi saya kan bukan mau nongkrong, saya mau ke hotel.

Gara gara itu, saya mesti jalan kaki memutar, lewat jalan gelap sekali, banyak orang iseng, ada yang cat calling. Ah!

Ga boleh lagi lewat jalan tertentu oke. Tapi tolong dipikirlah sedikit, saya tuh cuma mau ke hotel, saya cewe, malam, sendirian, disuruh jalan memutar. Saya bukan orang situ, saya ga tau ada jam tutupnya.

Entahlah, jadi pelajaran aja. Overall bagus semua, cuma memang kejadian malamnya tiba tiba menakutkan"
Monkey Forest Tourism Park,Kukuh Cakra D,5.0,"Wisata kota tua,wisata bangunan jaman dahulu,
Tempat nya indah suasana rame banyak jenis jajanan kuliner,
Suasana malam terasa lebih indah di bandingkan siang,
Perlu waspada dengan barang bawaan, karna masih banyak si tangan cepat yg jahil,
Dan masih sering kejadian,"
Curug Tilu Waterfalls,Suci Oktavia,5.0,Tempat yg cocok buat liburan keluarga suasana nya adem dan gk bising hanya sedikit saran buat pengelola kawasan wisata kota tua harap sediakan tempat duduk buat para pengunjung kota tua dan selalu adain live music tiap akhir pekan
Jembatan Gantung Situ Gunung 555,Fer sam,5.0,"Salah satu spot favorit kalau ke Jakarta, sebagai orang yang suka banget sejarah dan arsitektur, kota tua seolah2 lorong waktu, serasa kembali ke masa Batavia buat menyelami informasi dan sejarah terbentuknya Jakarta"
Wisata Mangrove Kedatim,Mohammad Anom,5.0,"Tempat yg mungkin cocok untuk menyendiri dan mengenal jaman penjajahan negeri kita oleh bangsa asing. Semua masih terawat meski ada bbrapa bangunan yang jauh dr terawat, dan jadi salah satu destinasi wisata dijakarta yang ramah kantong."
Taman Adipura Kota Sumenep,Ciaba'al Tv,3.0,"Sedih sih kurang perawatan
Beberapa spot rada bau pesing

Ada penyewaan sepeda beserta ornamennya.. Tp ini mulai jam 9 pagi"
Cilember Waterfall,Wahyu Widiastuti,5.0,"Kawasan wisata terkenal di jakarta
Banyak gedung tua peninggalan sejarah dan dijadikan museum
Ada alun-alun besar tempat wisata, banyak yang bisa piknik, konser, main sepeda, love music dll
Banyak juga cafe dan jajanan, serta penjual aksesoris dan oleh²
Overall wajib dikunjungi bagi yang ke jakarta"
Wisata Bukit Kehi,oxthonk kumbara212,5.0,"Kota Tua Jakarta, juga dikenal dengan sebutan Batavia Lama (Oud Batavia), adalah sebuah wilayah kecil di Jakarta, Indonesia. Wilayah khusus ini memiliki luas 1,3 kilometer persegi melintasi Jakarta Utara dan Jakarta Barat (Pinangsia, Taman Sari dan Roa Malaka).

Di kawasan Kota Tua Jakarta terdapat museum Museum Bank Mandiri,[3] Museum Bank Indonesia,[4] Museum Fatahillah,[5] Museum Seni Rupa dan Keramik,[6] Museum Wayang,[7] dan Museum Bahari.[8] Beberapa museum di kawasan Kota Tua Jakarta dalam kondisi yang buruk.[butuh rujukan] Beberapa di antaranya ialah Museum Fatahillah, Museum Bahari, dan Museum Bank Indonesia..

Pengunjung juga bisa menikmati suasana nostalgia di Taman Fatahillah dengan menyewa sepeda ontel, menjelajahi bangunan bersejarah seperti Toko Merah, serta menikmati kuliner di kafe-kafe klasik seperti Cafe Batavia. Aktivitas lainnya termasuk mengikuti free walking tour dan mengabadikan foto di berbagai spot menarik di kawasan tersebut.

Mantappp"
Kampung Wisata Ciwaluh,Vina Septiana W,5.0,"Sudah 2 kali sambangi curug ini, 1 tempat 3 curug, paling bawah curug nangka harus menyusuri semacam sungai dlu untuk sampai ke TKP. Kebetulan pas kita dateng debit airnya gk begitu deras ya.

Naik ke atas lagi ada curug Daun cocok untuk anak² karna bentuknya seperti kolam. Saat kunjungan ke 2 ada yg baru di Cunang. Ada semacam panjat tebing tapi ini menuruni Cunang dari curug daun, sempet tanya² sama penjaga toilet di curug daun, emang baru dan klo mau mencobanya, langsung aja bisa kepoin Ig ""canyoning.curugnangka"" karna ini seperti open trip gitu, harus booking dulu. Cocok yang suka menantang adrenalin si ini.

Nah di paling atas ada Curug Kawung, gak cocok buat anak2 karna banyak bebatuan.

Harga tiket masuk ada kenaikan di banding saat pertama kami mengunjungi Cunang. 2 dewasa 1 anak usia dan motor kurleb 100k. Fyi di cunang ini bisa untuk camp juga ya tapi banyak monyet berkeliaran. Pedagang di sana menyarankan untuk tidak membawa kantong plastik karna monyetnya agresif sama kantong kresek. Kita juga di sarankan membawa batu. Cukup mengayunkan ya tidak melempar batu tersebut. Seakan paham, monyet² tersebut akan menjauh.

Untuk sampai di cunang jalananya aman ya, yg pasti tetap cek kondisi kendaraan. Karna semakin bagus Curug tentunya jalan yg harus di tempuh juga semakin tinggi.

Tempat ganti dan bilas ada, mushola juga ada, tempat isi perut juga ada."
Wisata Kali Cemplong,Panjul King,4.0,"Berkunjung dihari biasa, harga tiket 35rb/orang. Parkir motor 5rb, bayar di dalam.
Lokasi air terjunnya g terlalu jauh dari pintu masuk... Pengunjung di hari biasa aja lumayan, apalagi di akhir pekan/hari libur. Karena area air terjunnya gak terlalu luas, bisa jadi pertimbangan."
Obyek wisata Pantai Alam Indah (PAI),Abas Ade,5.0,"Curugnya bagus. Sempat liat dijadiin buat wahana Shower Climbing juga. Akses ke curug juga ga terlalu terjal.

Tapi jangan kesini pas musim hujan deras, ada papan peringatan waspada sama banjir bandang. Karena emang akses menuju ke curug sebenernya kayak susur sungai dikit. Jadi siap-siap sepatu basah"
Taman Langit Gunung Banyak,LA Media Cipta,4.0,"Curug yang lokasinya di kaki gunung salak bisa diakses lewat laladon meskipun jalannya agak sempit terus banyak lobang.
Untuk tanjakan masih aman, relatif landai. Hati2 lobang jalan saat musim hujan.

Untuk curug ada 3 curug dalam satu area kawasan, di bawah curug nangka, di tengah curug daun, dan paling atas ada curug kawung. Curug nangka harus lewat aliran sungai kecil tapi ga jauh paling 250m dari area parkir. Curug daun yang paling enak karena udah dikasih akses yang bagus.

Untuk tiket masuk harganya lumayan 50k/orang, parkir 15k/mobil, kamar mandi 4k, kelapa muda 20k, gorengan 4k, mie telor rebus 15k (tempat makan masih standart harganya). Tersedia juga camping dengan biaya sewa 200-250k. (Rate per juni 2025)

Harga tersebut terbayar dengan keindahan alam dan area treking yang cukup bagus. Kamar mandi juga bersih.

Banyak banget monyet liat berkeliaran. Hati2 dengan barang bawaan.

Minusnya ga ada tempat parkir mobil yang memadai. Parkir aja di pinggiran."
Lembah Dieng Gempol,Garuu_ kun,4.0,"Tempatnya bagus, suasananya sejuk cuma banyak monyettt ajaa bikin ngeganggu dan cukup berbahaya kalo bawa makanan atau masak di sana"
Air Terjun Toroan,anugerah pratama,4.0,"Cukup bagus untuk berfoto²
Ada tempat untuk berfoto sambil climbing
Banyak Monkey , tapi masih aman ke manusia ."
Kawasan Pariwisata Nusa Dua,Syamsul Alim,5.0,"Tiket cukup pricey di wekend tanpa kendaraan 2 pax = 45ribu
--
Curugnya Bagus, masi ada monyet di beberapa titik , dan ada Dog and cat nya 🥰😸🦮 dont forget to bring ur cat/dogfood ya--

Ada 3 curug, tapi kami hanya meng explore Curug Nangka. Masuk harus menyusuri sungai ."
Mangrove Karangkiring,MElica Aprilianti,5.0,"dulu pas zaman sekolah beberapa kali ke curug nangka ini lewat jalur pinus makati, terus kemaren kesini lagi buat canyoneering dan seru banget jadi pengalaman yang tak terlupakan apalagi crew nya pada ramah baik puas banget sama pelayanan canyoneering curug nangka"
Wisata Religi Sunan Giri,Irwan Lylac,5.0,"Curug dengan track yg tidak terlalu jauh dan lumayan simpel, harga masuk sedikit pricy daripada tempat lain. UMKM yang berjualan makanan disana harganya masih normal dan ekonomis dikantong. Hati"", jangan membawa makanan ringan/plastik yang mengundang kerumunan monyet untuk merampas dari pengunjung."
Suroboyo Park,MElica Aprilianti,5.0,"Tiket masuk wisata cukup pricy (45k), car parking area tidak cukup luas, ada fauna anjing dan monyet. Enaknya berangkat pagi, sudah berjejer makanan anget"". Treking menuju waterfall masih aman ga terlalu jauh. Utk waterfallnya tidak terlalu deras airnya jadi aman bagi yg ingin sekedar berfoto."
Bunut Bolong,anugerah pratama,5.0,"Tiketnya masih mahal ditambah LG masih dimintain parkir motor 10.000
Tp suasa masih terlihat asri dengan ditemani monyet2 lucu2 mengemaskan yg meyambut kita berharap kita memberi makan mereka. Tp cukup puas setelah melihat curung yg paling tinggi yaitu curung Kawung walaupun trek nya lumayan terjal dengan bebatuan dan alam yg masih alami."
Wisata Mangrove Kedatim,TukanG NgaLadoG,4.0,"Untuk curug nya cukup bagus, airnya jernih banget, tapi kalau cari trekking, jalannya mudah, kurang menarik. Ada 3 curug yang bisa dilihat. Tapi yang seru canyoneering nya, cuma harus booked di awal. Hati-hati disini banyak monyet, harap jaga barang bawaan terutama makanan, di sekitar juga ada warung dan toilet."
Sagara Karangbolong,hendra budi,5.0,Cuakeeppp pooolll msh asri... Ada monyettt asal jgn ketauan bawa makanan... Sejukkk poll... Tp mahall masuknya parkirnya 🤭
Pantai e Kasoghi,Irwan Lylac,2.0,"Masuk kesana berdua sama suami naik mobil  dan satu orang bayar 50.000. Total masuk doang 100.000, belum sama parkir 15.000. Entah karena plat mobilku keliatan dari luar kota atau gimana tapi untuk fasilitas yang di dapat dan tempat yang banyak spot terbengkalainya dimana keamanan ga terjamin (jembatan karatan dan rusak) agaknya cukup merogoh kocek, dan tukang parkir cuma gerak waktu minta duit parkir sedangkan waktu pulang si tukang parkir duduk diem doang ngamatin mobilku jalan mundur tanpa ngebantu. Beli nasi ayam di pintu masuk harga terjangkau masih normal 25.000 satu porsi. Overall lingkungan asri dan hijau, cuma harus hati2 karena monyetnya suka usil apalagi kalau lihat plastik sering ngira itu makanan dan suka merampas dari pengunjung."
Situs Giri Kedaton & Makam Raden Supeno,Mohammad Anom,1.0,"Apaan air terjun modelan begini doang babatingan😏
Kirain dengan harga 45rb x 6 orang dapet view air terjun yang bagus nan indah.
Tau nya zonk😩

Ngga lagi lagi,buat siapapun coba liat ulasan yang lain jika hendak ke lokasi.🤨"
Bungursari Lake Park,TukanG NgaLadoG,5.0,"Gowes ke curug nangka memang cukup menantang, tapi langsung hilang begitu melihat air terjun dan suasana curugnya. Di lokasi ada mushola dan juga tempat makan."
Wisata Dream Park Gagah,Rendy Syauqy Hasan,1.0,"PNBP (Penerimaan Negara Bukan Pajak)? apakah ini hanya akal-akalan ditengah maraknya kasus kenaikan pajak oleh pemerintah. Kami pikir harga sudah termasuk parkir, ternyata di dalam, ada biaya lagi. Mohon Pemda setempat lebih diperhatikan. Kebetulan mengantar  teman yang dari Kalimantan"
Bukit Sewu Sambang,Arya Nanda,4.0,Kemarin 8/8/2025 enak bgt hari jumat sepi  berasa milik sendiri.
Taman Wisata Selorejo,Slamet Nur,5.0,"Lokasi yg sejuk, jalanannya jg sdh bagus, air terjunnya bersih, msh ada monyet liarnya jd hati2 jk bw makanan yaa, bs untuk camping n ada byk warung, toilet n musholla jg yaa.. Biaya masuknya 50k/org blum termasuk parkir"
Pantai e Kasoghi,Daffa Wahyu,5.0,"Hari Ini Jum'at 30 Agustus 2024 SMP Islam El-Rasyad Jakarta berkunjung ke Curug Nangka.
Curug Nangka adalah air terjun yang terletak di kawasan Taman Nasional Gunung Halimun-Salak, Bogor. Tempat ini menawarkan suasana alam yang asri dengan udara sejuk dan pemandangan hijau yang menenangkan. Untuk mencapai air terjun, pengunjung harus berjalan melewati jalan setapak yang menantang namun menyenangkan. Curug Nangka cocok bagi pecinta alam yang mencari ketenangan dan ingin berpetualang. Namun, fasilitas di sekitar lokasi masih terbatas, seperti toilet dan tempat istirahat. Meski begitu, keindahan alamnya tetap menjadi daya tarik utama yang membuat pengunjung betah berlama-lama."
Karang Para,riyah faradies,4.0,"Curug'y lumayan jauh dr parung panjang. Tp utk view'y keren curug bagus dan ga terlalu jauh dr parkiran. Total curug ada 3 di 1 tempat wisata. tempat'y juga udh dikelola perhutani akses ga susah. Tp untuk tiket masuk lumayan mahal 1 motor 2 org HTM 69rb blm termasuk parkir motor, klo nginep parkir nambah 10rb. Harga makanan juga standar padahal di area wisata. Keren lah ga nyesel jauh2 kesana"
Curug Tilu Waterfalls,MR Ilman Huda,3.0,"Jarak yang ditempuh tidak terlalu jauh😍
Walaupun agak sedikit cape tapi terbayar dengan keindahan curug nangka ini✨

Ingatt selalu kita berkunjung dimanapun itu harus tetap menjaga sikap,dari lisan maupun perbuatan🫰🏻
Happy holidayy❤️"
Taman Pandang Istana,Arya Nanda,5.0,"Tempatnya bagus, tapi bayar masuknya mahal bgt yaaaa, beda bgt sama yg dulu, banyak yg masih dibangun juga. Ga terlalu worth the place jujur. Tempatnya banyak sampah, camping ground apalagi, think twice deh sebelum kesini"
Suramadu View Point,Rachmi Pramono,5.0,"Minggu 26 Mei coba main kesana. Ternyata di luar ekspektasi, Pembayaran normal dari pihak Perhutani dan tidak ada  Pungli seperti curug-curug yang belum di kelola pemerintah, Akses ke lokasi juga terbilang bagus cuma harus sabar aja karena banyak angkot berhenti sembarangan. Di dalam wisata juga terbilang lengkap ada Penginapan, Parkir Luas, Jalan menuju air terjun tertata rapi, banyak juga yang berjualan dari makanan ringan hingga nasi lauk pauk menu Khas Sunda. Keren si.. Curug Nangka sebagai contoh, curug curug bogor yg sudah di kelola dgn baik oleh Perhutani👍"
Wisata Religi Sunan Giri,Arnet Hugo,4.0,"aku kesana weekend biasa ya, bukan long weekend atau musim liburan..
sekitar jam mau dzuhur dan alhamdulillah gak ramai seperti ekspetasiku..
tapi menurutku pribadi, untuk htm curugnya overprice sih, apa karena collab sama swasta apa gimana ya?
kalo untuk curugnya lumayanlah, darupada yang jauh kan makan waktu, kebetulan kemarin cari curug terdekat aja sih...
pengelola parkirnya bodoh dan kurangajar, soalnya motorku kegores, padahal parkir settled dan parkiran masih luas karena pengunjung motor tidak terlalu banyak~"
Wisata Kota Tua Jakarta,TukanG NgaLadoG,4.0,"Kesini pas hari biasa, ramai, tapinya masih aman
Rutenya berbatu baru kondisi badan harus fit"
Situs DuplangKamal,Rendy Syauqy Hasan,5.0,"Trekingnya gak terlalu jauh, curug nya bagus kalo musim hujan. Hanya saja kalau musim hujan jangan lama2 di area curug nya yaa, takut banjir 😁 oiya, tiket masuk nya berasa mahal kalo rombongan. Mahal banget 🙈🙈"
Ekowisata Mangrove Lembung,Daffa Wahyu,5.0,"Ke tempat wisata curug nangka pada akhir pekan, tiket masuknya 45rb / org. Ada 3 curug, yaitu curug nangka, curug daun dan curug Kawung. Yang paling dekat adalah curug nangka, berjarak sekitar 400 mtr dari pintu masuk, kemudian ada curug daun tidak jauh dari curug nangka. Namun kami tidak ke curug Kawung."
Taman Langit Gunung Banyak,Djemba Dje,5.0,"Sejauh ini, ini jadi jalur tracking terekstrim gue
Mostly medannya air, tanah, krikil gue saranin pake sendal aja, perjalanan naik hampir 4 jam dengan jarak 7km ngelewatin 13 sungai (PP kaliin 2 aja). selama ±1 jam pertama mata lo bakal disuguhin hamparan hijau sawah selebihnya pure hutan, YUP HUTAN😌 jadi kalo cuma 2 orang SANGAT disarankan pake guide ygy (200rb kalo ga salah) atau joinan aja sama yang mau tracking juga. karena penanda jalannya cuma pita orange yang diiket di dahan pohon🎀
Untuk tiket masuk gue 47rb (dua orang) udah sama parkir. Btw untuk akses mobil bisa masuk cuma sampe parkiran mobil didepan (jarak ±1km dari basecamp) karena menuju basecamp benar-benar lewat rumah warga, kalo males jalan bisa naik ojek 15rb. buat yang bawa motor bisa langsung parkir aja ke basecamp
Dan pemandangannya lo liat sendiri deh sebagus apa ini.."
Obyek Wisata Taman Rekreasi Kota Bangkalan,Theophilus Merta Adnyana,5.0,"Disebut sebagai Trip Jungle Curug Cisadane, 14 km trip dengan menerobos hutan tropis basah, melewati anak anak sungai dan tiba di Curug. Follow @bogoradventureclub untuk info lebih lanjut"
Taman Gladak Anyar,Arnet Hugo,5.0,"akses perjalanan menuju curug hanya bisa diakses dengan berjalan kaki untuk membawa kendaraan sepeda motor ada tempat parkirnya. Jika membawa mobil hanya sampai pada post parkir mobil dan dilanjutkan dengan ojek pangkal atau bisa juga berjalan kaki akan tetapi jika memilih opsi ini agak cukup jauh jaraknya untuk berjalan kaki.

selama perjalanan akan disuguhkan dengan pemandangan sawah, sungai dan dikelilingi perbukitan serta gunung. Disini terdapat tiga opsi curug yang paling jauh Cisadane berjarak 7 Km kalo tidak salah di papan petunjuk, lalu ada yang pertengahan antara curug yang saya datangi dengan curug Cisadane. Opsi paling dekat yang saya kunjungi hanya berjarak 1,7 Km

view nya cukup indah dan memanjakan mata dan jangan lupa untuk membawa payung. Sampah nya jangan lupa dibawa kembali!!"
Suroboyo Park,Purwadhi Purwadhi,5.0,Untuk Jalur Trekking Ke Curug Cisadane Sangatlah Indah dan Menantang
Puncak Ratu Pamekasan,MElica Aprilianti,5.0,"Hulu sungai Cisadane. Jauh dari mana-mana itu selalu bikin tempatnya bagus.  Semakin jarang orang dateng, semakin bersih."
Puncak Ratu Pamekasan,Fer sam,5.0,"Tempat cucurak, ada gazebo di pinggir sungai yang muat 20 orang. Tapi, better telepon dulu buat reservasi. Soalnya, gazebonya yang di pinggir sungai cuma tiga buah.

Ada sawahnya juga yang mau main ke sawah, fasilitas wc sama mushola ada. Cuma akses masuknya, gak ada jalan gede, lewat gang banget. Bawa sepeda aja PR klo kendaraan roda dua sama mobil, gak tahu dah parkir di mana."
Ekowisata Mangrove Lembung,Fachrurrazie Yusoef,5.0,"Buat yang hobi trekking, jalur ini sangat cocok dan pas. Semua track dari basah, kering, bebatuan, kayu dan pasir semua ada dan menantang. Dengan vegetasi yang sangat rapat.Untuk menempuh kesini bisa pakai mobil dan motor.
Jarak parkir mobil dengan gerbang kampung wisata ciwaluh 15menit harus pakai motor.
Tiket parkir mobil 20ribu
Tiket parkir motor 5ribu
Tiket masuk kawasan 13.500

Kalau dari arah Bogor bisa via Tol exit Cigombong

Sebaiknya untuk masuk ke jalur ini pakai sendal, bawa jas hujan dan yang wajib harus pakai Tour Guide.

Dan pemandangan Curugnya luaaarrr biasa keren…
Dan bikin nagih bangetttt"
