title,rating,reviews,address,description,latitude,longitude,operating_hours,phone,website
Kali Unda,4.5,326,"Jl. Diponegoro No.153, Paksebali, Dawan, Klungkung Regency, Bali 80761, Indonesia",,-8.5335246,115.4116834,9 AM–9 PM,+62 366 23359,
Kawasan Pariwisata Nusa Dua,4.6,202,"Kawasan BTDC Area, Jl. Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","Tourist area with resorts & beaches. Tourist area known for its resorts & beaches, with attractions such as a temple, a museum & golf.",-8.8034419,115.22827869999999,Open 24 hours,+62 361 771010,
DESA WISATA PINGE,4.5,258,"J55H+VJF, Pinge Baru, Marga, Tabanan Regency, Bali 82181, Indonesia",,-8.390309199999999,115.1790329,Open 24 hours,,
Bukit Sewu Sambang,4.5,258,"Lingk.Papring, Wangkal, Kalipuro, Kec. Kalipuro, Kabupaten Banyuwangi, Jawa Timur 68455, Indonesia",,-8.125188999999999,114.3714607,Open 24 hours,,
Pantai Dermaga Cinta,4.5,372,"R9QW+Q77, Lingkungan Tj., Klatak, Kec. Kalipuro, Kabupaten Banyuwangi, Jawa Timur 68421, Indonesia",,-8.160588299999999,114.39566359999999,Open 24 hours,,
Taman Pecangakan - Negara,4.5,1364,"JJRP+QP3, Jl. Surapati, Dauhwaru, Jembrana, Jembrana Regency, Bali 82218, Indonesia",,-8.358119499999999,114.6367885,Open 24 hours,+62 859-2578-9656,
Air Terjun Coklak,4.3,79,"Q2MV+6FG, Dusun Darungan, Tegalharjo, Glenmore, Banyuwangi Regency, East Java 68466, Indonesia",,-8.2169372,114.04368889999999,Open 24 hours,,
Desa Wisata Munggu,4.5,17,"94JH+P84, Munggu, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",,-8.6182312,115.12832139999999,Open 24 hours,,
Satria Gatotkaca Park,4.6,4252,"Jl. Raya Tuban No.1, Tuban, Kuta, Badung Regency, Bali 80361, Indonesia","Flowers, walking paths & a bold statue. Park with paved paths & flower beds, plus fountains & a striking statue of mythical hero Gatotkaca.",-8.7443882,115.1788673,Open 24 hours,,
Situs DuplangKamal,4.4,209,"WP6R+GHC, Duplang, Kamal, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191, Indonesia",,-8.0886893,113.74138099999999,Open 24 hours,,
Bukit Belong,4.3,338,"FC3J+X2F, Jl. Bukit Belong, Gunaksa, Dawan, Klungkung Regency, Bali 80761, Indonesia",,-8.5449492,115.4276538,,,
Bunut Bolong,4.5,1077,"Manggissari, Pekutatan, Jembrana Regency, Bali 82262, Indonesia",Landmark banyan tree with a hollow trunk. Centuries-old banyan tree with a road tunnel through its trunk & a pair of shrines at its base.,-8.386631099999999,114.8737838,Open 24 hours,+62 365 41210,
Taman Blambangan,4.6,11291,"Jl. Diponegoro No.2, Kepatihan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68411, Indonesia","Public green space & event site. Urban park offering a basketball court, walking paths & live shows & cultural events.",-8.2123176,114.37647849999999,Open 24 hours,,
Pantai Pancur,4.5,1888,"Jalan Brawijaya No.20 Purworejo, Purworejo, Kalipait, Kec. Tegaldlimo, Kabupaten Banyuwangi, Jawa Timur 68484, Indonesia",,-8.6779017,114.3729084,Open 24 hours,+62 333 410857,http://tnalaspurwo.org/
Wisata Bahari Pasir Putih,4.4,650,"8R4H+PGX, Pandansari, Pasir Putih, Kec. Bungatan, Kabupaten Situbondo, Jawa Timur 68358, Indonesia",,-7.6931443999999995,113.8288475,Open 24 hours,,
Karang Boma Cliff,4.6,1879,"Unnamed Road, Pecatu, South Kuta, Badung Regency, Bali, Indonesia",Towering cliff known for sunset views. Hikes to a wooded clifftop lookout popular for watching the sun set over the Bali Sea.,-8.8345366,115.0877251,Open 24 hours,+62 831-7768-2192,
Lumintang Park,4.5,10889,"Dauh Puri Kaja, Denpasar Utara, Denpasar City, Bali 80233, Indonesia","Playgrounds, jogging & fountain shows. Landscaped garden set around a lake, with a jogging track, a playground & weekend fountain shows.",-8.6359218,115.2129875,Open 24 hours,,
Bukit Asah Bali - Tempat Camping di Bali,4.5,550,"Desa Adat Bugbug, Jl. Raya Bukit Asah, Sengkidu, Karangasem, Karangasem Regency, Bali 80851, Indonesia",,-8.5050869,115.6111952,6 AM–10 PM,+62 819-3706-8702,https://www.bukitasahbali.com/
Pantai Pathek Situbondo,4.1,1981,"9X5V+HG9, Jalan Pantai Pathek, Gelung Selatan, Gelung, Situbondo, Situbondo Regency, East Java 68351, Indonesia",,-7.6427581,113.9892728,Open 24 hours,,http://situbondokab.go.id/
Puncak Wanagiri,4.6,2085,"Jl. Raya Wanagiri, Pancasari, Sukasada, Buleleng Regency, Bali 81161, Indonesia",,-8.237139299999999,115.14177919999999,Open 24 hours,,
Telaga Ngipik,4.1,924,"RJVM+7JP, Jarangkuwung, Ngipik, Gresik, Gresik Regency, East Java 61151, Indonesia","Fishing & water skiing on a mining lake. Small, tree-ringed lake in a mining pit, popular for boating, freshwater fishing & water skiing.",-7.1567943,112.6340726,Open 24 hours,,
Geger Hill,4.3,210,"XWGJ+4X5, Laok Kunong, Geger, Bangkalan Regency, East Java 69152, Indonesia",,-7.0247454,112.9324972,Open 24 hours,,
Gunung Kapur Suci,4.3,464,"Jalan Ponganganrejo No. 34, Suci, Manyar, Suci, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61151, Indonesia","Walks & photography in a former quarry. Disused limestone quarry with striking rock forms, now popular for hikes & landscape photography.",-7.1447197,112.6061246,Open 24 hours,,
Wisata Religi Sunan Giri,4.8,2044,"RJJJ+63R, Jl. Kedanyang - Gresik No.4, Pedukuhan, Kebomas, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61124, Indonesia",,-7.1691071,112.63096259999999,Open 24 hours,,
Mother's eyes travel Aer Arosbaya,4.4,1223,"Makam Air Mata, Buduran, Arosbaya, Bangkalan Regency, East Java 69151, Indonesia",,-6.9490821,112.85646779999999,Open 24 hours,,https://surabaya.media/sejarah-makam-air-mata-ibu-arosbaya-bangkalan/
Taman Air Mancur Menari Kenjeran,4.5,5351,"QQ7W+P6C, Kenjeran, Bulak, Surabaya, East Java 60123, Indonesia",Fountains with an evening light show. Waterfront dancing fountain at the start of the Kenjeran Bridge & colorfully illuminated at night.,-7.235693299999999,112.7955234,Open 24 hours,,
Situs Giri Kedaton & Makam Raden Supeno,4.6,907,"Jl. Sunan Giri XIII, Pedukuhan, Kebomas, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61124, Indonesia",,-7.1727124,112.6327724,Open 24 hours,,
Pantai Gebang,4.3,141,"2Q7P+PPR, Jl. Raya Gebang, Gebang Barat, Gebang, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115, Indonesia",,-6.9856497,112.7867654,Open 24 hours,,
Sumber Air Mata Ibu,4.9,78,"3V24+J3C, Makam Air Mata, Buduran, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151, Indonesia",,-6.947119799999999,112.85574419999999,Open 24 hours,,https://www.tempatwisata.pro/wisata/Makam-Aer-Mata-Ebu
Suramadu View Point,4.5,3296,"QQRJ+94V, Jl. Ustadz Abdul Somad, Kedung Cowek, Kec. Bulak, Surabaya, Jawa Timur 60126, Indonesia",,-7.209012899999999,112.7802895,9 AM–12 AM,,
Wisata Alam Kesek,4.2,220,"Unnamed Road, Kesek, Kec. Labang, Kabupaten Bangkalan, Jawa Timur 69163, Indonesia",,-7.1611484999999995,112.7722818,9 AM–10 PM,+62 858-5375-7565,
Air Terjun Batu Raja Manitan,3.6,73,"WX2G+GR4, Runggarung, Banyubunih, Galis, Bangkalan Regency, East Java 69173, Indonesia",,-7.098732099999999,112.97708349999999,,,
Obyek Wisata Taman Rekreasi Kota Bangkalan,4.1,129,"XP4R+G5X, Wr 08, Mlajah, Bangkalan, Bangkalan Regency, East Java 69116, Indonesia",,-7.043632499999999,112.7404739,7 AM–5 PM,,http://www.pulaumadura.com/
Mangrove Karangkiring,4.4,59,"RM68+G4F, Karang Kering, Sidorukun, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61124, Indonesia",,-7.1886763,112.6653106,,,https://mangrovekarangkiring.my.id/
Dermaga Rindu,4.1,1148,"RQQC+9WF, Unnamed Road, Kesek, Kec. Labang, Kabupaten Bangkalan, Jawa Timur 69163, Indonesia","Pier with Instagram ops & bridge views. Wooden pier lined with restaurants & lit up at night, known for Suramadu Bridge views & photography.",-7.161568099999999,112.7723073,10 AM–9:30 PM,,
Exotic Mengare,4.5,331,"XJCQ+2Q7, Unnamed Road, Tajung Widoro, Tanjung Widoro, Bungah, Gresik Regency, East Java 61152, Indonesia",,-7.029955299999999,112.6394296,9 AM–4 PM,,https://exotic.mengare.com/
Wisata Air Taman Prestasi,4.7,148,"Jl. Ketabang Kali No.2-B, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272, Indonesia",,-7.261876699999999,112.7432029,"8 AM–12 PM, 4–9 PM",+62 815-5387-0855,https://tiketwisata.surabaya.go.id/
Suroboyo Park,4.6,13530,"QQFQ+V6H, Jl. Pantai Kenjeran, Kedung Cowek, Bulak, Surabaya, East Java 60125, Indonesia",Landmark sculpture in a seafront park. Waterside garden surrounded by warung cafes & centered on a dynamic statue of a shark & crocodile.,-7.225372699999999,112.7880641,Open 24 hours,,
Pemandian Sumber Pocong,3.8,122,"WR68+G5P, Karang Anyar, Pocong, Kec. Tragah, Kabupaten Bangkalan, Jawa Timur 69165, Indonesia",,-7.0886543,112.815462,,,
Kota Tua Surabaya,4.7,1034,"Gula St No.14-A, Bongkaran, Pabean Cantikan, Surabaya, East Java 60161, Indonesia",,-7.2391095,112.73999669999999,Open 24 hours,,
Air Terjun Ahatan,4.1,114,"3HC9+W4H, Duko, Tlontoraja, Kec. Pasean, Kabupaten Pamekasan, Jawa Timur 69356, Indonesia",,-6.927683699999999,113.5678597,Open 24 hours,,
Wisata Alam Somber Rajeh,4.3,147,"WPQ5+R9H, Daja Lorong 1, Rombiya Tim., Kec. Ganding, Kabupaten Sumenep, Jawa Timur 69462, Indonesia",,-7.060237,113.7094674,8 AM–9:30 PM,,
Goa Lebar Sampang,4.1,603,"R734+V6J, Rw. II, Rong Tengah, Sampang, Sampang Regency, East Java 69216, Indonesia",,-7.1952755999999995,113.2555112,Open 24 hours,,
Wisata Api Abadi,4.2,2336,"QFW6+2C6, Asemanis Satu, Larangan Tokol, Tlanakan, Pamekasan Regency, East Java 69371, Indonesia",,-7.2049631,113.4610187,Open 24 hours,,
Wisata Dream Park Gagah,4.5,30,"VHRW+R4P, Gagah, Kec. Kadur, Kabupaten Pamekasan, Jawa Timur 69355, Indonesia",,-7.1081748,113.5954775,,,
Wisata Bukit Kehi,4.1,255,"WJF5+78P, Moccol, Kertagena Daya, Kec. Kadur, Kabupaten Pamekasan, Jawa Timur 69355, Indonesia",,-7.0767869,113.6083417,6 AM–5 PM,+62 823-3103-4448,https://bukitkehi.com/
Pantai Camplong,4.0,3139,"Q8J9+MJR, Jl. Raya Camplong, Camplong, Sampang Regency, East Java 69281, Indonesia",,-7.2182714,113.31901819999999,Open 24 hours,,
Air Terjun Toroan,4.3,2010,"4846+RWW, Talabang, Ketapang Daya, Ketapang, Sampang Regency, East Java 69261, Indonesia",Waterfall plunging into the sea. Wide cascade plunging down a 20-meter cliff face straight into the sea at a rocky beach.,-6.8928897,113.3123232,6 AM–6 PM,,
Tomb Complex Ratu Ibu,4.3,103,"Q6RJ+JWP, Rw. II, Polagan, Sampang, Sampang Regency, East Java 69216, Indonesia",,-7.208403199999999,113.2323282,Open 24 hours,,
Monumen Trunojoyo Sampang,4.7,431,"R732+P9H, Rw. III, Rong Tengah, Sampang, Sampang Regency, East Java 69216, Indonesia",,-7.195682,113.2509826,Open 24 hours,,
Taman Gladak Anyar,4.0,668,"RFXJ+6P2, Jl. Sersan Mesrul, Gladak Anyar, Pamekasan, Pamekasan Regency, East Java 69317, Indonesia",,-7.1519772999999995,113.481776,Open 24 hours,,
Pantai Jumiang,4.2,1562,"Jl. Pantai Jumiang, Jumiang, Tanjung, Pademawu, Pamekasan Regency, East Java 69323, Indonesia",,-7.2335278,113.55146289999999,5 AM–5:30 PM,,https://jumiang.eu.org/
Avalokitesvara Buddhist Temple,4.6,399,"Candi Utara, Polagan, Galis, Pamekasan Regency, East Java 69382, Indonesia",,-7.146770399999999,113.58141429999999,Open 24 hours,+62 812-3368-2187,http://kwanim-kiong.org/
Ekowisata Mangrove Lembung,4.5,176,"RHMF+XFQ, Bangkal, Lembung, Kec. Galis, Kabupaten Pamekasan, Jawa Timur 69382, Indonesia",,-7.165047599999999,113.57374759999999,5:30 AM–6 PM,+62 823-3465-7059,
Bukit Masegit,4.3,106,"V8GJ+CXC, Piaan, Temoran, Kec. Omben, Kabupaten Sampang, Jawa Timur 69291, Indonesia",,-7.1239289,113.3324045,7 AM–4 PM,,
Api Tak Kunjung Padam 2,4.3,87,"QFW7+VCM, Asemanis Satu, Larangan Tokol, Tlanakan, Pamekasan Regency, East Java 69371, Indonesia",,-7.202788699999999,113.46353359999999,Open 24 hours,,
Tugu KERIS Sumenep,4.4,74,"VJH6+M7M, Duwakpakak, Sendang, Kec. Pragaan, Kabupaten Sumenep, Jawa Timur 69465, Indonesia",,-7.1203628,113.61030079999999,Open 24 hours,,
Wisata Lokal Sumber Penang,4.2,85,"XH3F+H73, Desa, Duko, Somalang, Kec. Pakong, Kabupaten Pamekasan, Jawa Timur 69352, Indonesia",,-7.0461146,113.5731773,Open 24 hours,,
Wisata Pantai Talang Siring Pamekasan,4.1,2001,"Pacanan, Montok, Larangan, Pamekasan Regency, East Java 69383, Indonesia",,-7.137854,113.58974599999999,6:30 AM–5 PM,,
Pantai Pasir Putih Tlangoh,4.4,1482,"428X+H4F, Temanah, Tlangoh, Tanjung Bumi, Bangkalan Regency, East Java 69156, Indonesia",,-6.8835598,113.0477832,Open 24 hours,,
Air Terjun Ahatan,4.1,114,"3HC9+W4H, Duko, Tlontoraja, Kec. Pasean, Kabupaten Pamekasan, Jawa Timur 69356, Indonesia",,-6.927683699999999,113.5678597,Open 24 hours,,
Wisata Alam Somber Rajeh,4.3,147,"WPQ5+R9H, Daja Lorong 1, Rombiya Tim., Kec. Ganding, Kabupaten Sumenep, Jawa Timur 69462, Indonesia",,-7.060237,113.7094674,8 AM–9:30 PM,,
Wisata Dream Park Gagah,4.5,30,"VHRW+R4P, Gagah, Kec. Kadur, Kabupaten Pamekasan, Jawa Timur 69355, Indonesia",,-7.1081748,113.5954775,,,
Puncak Ratu Pamekasan,4.3,905,"Kongsi, Tebul Bar., Kec. Pegantenan, Kabupaten Pamekasan, Jawa Timur 69361, Indonesia",,-7.0270496,113.49041509999999,Open 24 hours,,
Wisata Bukit Kehi,4.1,255,"WJF5+78P, Moccol, Kertagena Daya, Kec. Kadur, Kabupaten Pamekasan, Jawa Timur 69355, Indonesia",,-7.0767869,113.6083417,6 AM–5 PM,+62 823-3103-4448,https://bukitkehi.com/
Taman Adipura Kota Sumenep,4.5,9265,"Lingkungan Delama, Pajagalan, Sumenep, Sumenep Regency, East Java 69416, Indonesia","Elegant park with wide, shady trails. Leafy green space facing the Great Mosque, with broad paths, a circular plaza & a Pegasus statue.",-7.0082498,113.86023709999999,Open 24 hours,+62 328 663224,
Taman Wisata Alam Pagarbatu (Boekit TAWAP),4.3,620,"Bungandun, Pagarbatu, Kec. Saronggi, Kabupaten Sumenep, Jawa Timur 69467, Indonesia",,-7.1246788,113.8560622,7:30 AM–5 PM,,http://qurahman.com/
Wisata Kampung Pasir,4.3,229,"Kampung sabu, Bukabu, East Legung, Batang Batang, Sumenep Regency, East Java 69473, Indonesia",,-6.909167999999999,114.03807669999999,Open 24 hours,,
Pantai e Kasoghi,4.2,734,"Nonggunong, Tanjung, Saronggi, Sumenep Regency, East Java 69467, Indonesia",,-7.104928999999999,113.8875284,7 AM–9 PM,+62 856-3366-391,
White Stone Sumenep,4.4,139,"4WHF+VP3, Gn. Tengah, Batuputih Daya, Batuputih, Sumenep Regency, East Java 69453, Indonesia",,-6.8703622,113.9243001,Open 24 hours,,
Desa Wisata Keris Aengtongtong,4.8,10,"Duko, Aeng Tong-tong, Kec. Saronggi, Kabupaten Sumenep, Jawa Timur 69467, Indonesia",,-7.0829894,113.7959423,8 AM–5 PM,+62 878-1210-7404,https://aengtongtong.com/
Taman Gladak Anyar,4.0,668,"RFXJ+6P2, Jl. Sersan Mesrul, Gladak Anyar, Pamekasan, Pamekasan Regency, East Java 69317, Indonesia",,-7.1519772999999995,113.481776,Open 24 hours,,
Avalokitesvara Buddhist Temple,4.6,399,"Candi Utara, Polagan, Galis, Pamekasan Regency, East Java 69382, Indonesia",,-7.146770399999999,113.58141429999999,Open 24 hours,+62 812-3368-2187,http://kwanim-kiong.org/
Taman Tajamara,4.5,781,"XVJ5+J5R, Labangseng, Kolor, Kec. Kota Sumenep, Kabupaten Sumenep, Jawa Timur 69417, Indonesia",,-7.0183855,113.8578878,Open 24 hours,,
Wisata Goa Putih,4.2,36,"2V47+FMV, Saluran Air, Pamolokan, Sumenep, Sumenep Regency, East Java 69417, Indonesia",,-6.993760699999999,113.8641849,Open 24 hours,+62 328 779966,
Ekowisata Mangrove Lembung,4.5,176,"RHMF+XFQ, Bangkal, Lembung, Kec. Galis, Kabupaten Pamekasan, Jawa Timur 69382, Indonesia",,-7.165047599999999,113.57374759999999,5:30 AM–6 PM,+62 823-3465-7059,
Wisata Bukit Pasir Slopeng,4.7,28,"Unnamed Road, Trebung Ghetteng, Sema""an, Kec. Dasuk, Kabupaten Sumenep, Jawa Timur 69454, Indonesia",,-6.8870284999999996,113.7972963,7 AM–5 AM,,
Wisata Gili Labak,4.8,56,"Pulau Gili Labak, Kabupaten Sumenep, Jawa Timur 69481, Indonesia",,-7.2045634,114.044766,Open 24 hours,+62 821-3982-9415,
Tugu KERIS Sumenep,4.4,74,"VJH6+M7M, Duwakpakak, Sendang, Kec. Pragaan, Kabupaten Sumenep, Jawa Timur 69465, Indonesia",,-7.1203628,113.61030079999999,Open 24 hours,,
Wisata Mangrove Kedatim,4.6,122,"Jl. Pelabuhan, Dusun Ro'soro, Kebundadap Tim., Kec. Saronggi, Kabupaten Sumenep, Jawa Timur 69467, Indonesia",,-7.09348,113.86449809999999,7 AM–4 PM,+62 817-0364-7654,
Taman Langit Gunung Banyak,4.6,3166,"Jl. Gn. Banyak, Gunungsari, Bumiaji, Batu City, East Java 65312, Indonesia",Landscaped sculpture garden with views. Popular spot for selfies amid an array of whimsical sculptures in front of extensive views.,-7.854512199999999,112.49804999999999,7 AM–12 AM,+62 813-3318-3380,https://www.facebook.com/TamanLangitGunungBanyak/
Wiken Wisata Kampung Enem,3.7,334,"Unnamed Road No.65173, Area Hutan, Patokpicis, Kec. Wajak, Kabupaten Malang, Jawa Timur 65173, Indonesia",,-8.120277,112.78028099999999,Open 24 hours,+62 812-3223-6060,
Bayangan Hill,4.7,2172,"9JH9+647, Area Hutan, Hutan, Trawas, Mojokerto Regency, East Java 61375, Indonesia",,-7.6219521,112.6177946,Open 24 hours,,
Pemandian Tirto Sari,4.5,1141,"Sumbersari, Penanggal, Candipuro, Lumajang Regency, East Java 67373, Indonesia",,-8.1285619,113.0390647,Open 24 hours,+62 815-5355-1666,
Kebun Bunga Cangar,4.7,562,"Jl. Raya Sumber Brantas No.278, Sumber Brantas, Kec. Bumiaji, Kota Batu, Jawa Timur 65336, Indonesia",,-7.751294,112.53202619999999,Open 24 hours,,
Ngopibareng Pintulangit | THE PINTULANGIT RESORT,4.4,8820,"Jl. Raya Tulang, Ledug, Kec. Prigen, Pasuruan, Jawa Timur 67157, Indonesia",Highland views through a door frame. Quirky observation platform & photo opportunity with rural views through an open door frame.,-7.713542599999999,112.6541469,9 AM–9 PM,+62 812-3483-0202,https://instagram.com/ngopibarengpintulangit
Taman Wisata Selorejo,4.2,4480,"49F6+2CR, Sedawun, Pandansari, Ngantang, Malang Regency, East Java 65392, Indonesia",,-7.8773978,112.36103109999999,Open 24 hours,+62 341 522402,http://wisata-selorejo.blogspot.com/
Puncak Kejora,3.9,209,"2C87+JMV, Pkb. Pijiombo, Ngadirenggo, Wlingi, Blitar Regency, East Java 66184, Indonesia",,-7.983397999999999,112.414175,Open 24 hours,,
Tretes Wisata Alam,4.7,901,"Semeru, Prigen, Kec. Prigen, Pasuruan, Jawa Timur 67157, Indonesia",,-7.696304199999999,112.62803699999999,,,
Desa Wisata Gubugklakah ꦒꦸꦧꦸꦏ꧀ꦏ꧀ꦭꦏꦃ,4.7,302,"Jl. Raya Gubugklakah, Besuki Selatan, Wringinanom, Kec. Poncokusumo, Kabupaten Malang, Jawa Timur 65157, Indonesia",,-8.0288179,112.8234674,Open 24 hours,+62 877-5991-1315,https://gubugklakah.com/
Wisata Kali Cemplong,4.3,435,"Jl. Kapiworo II, Keduyo, Mangliawan, Kec. Pakis, Kabupaten Malang, Jawa Timur 65154, Indonesia",,-7.9608731,112.6612112,6 AM–11:30 PM,,
Monumen Juang 45,4.4,84,"2JCP+XGG, Jl. Kertanegara, Klojen, Malang City, East Java 65111, Indonesia",,-7.9775531,112.63632899999999,Open 24 hours,,
Pemandian Sumber Nyolo,4.3,757,"4JCC+7M5, wisata nyolo, Langlang I, Glugur Kota, Karang Ploso, Malang Regency, East Java 65111, Indonesia",,-7.8793562999999995,112.6217368,Open 24 hours,,
Taman Kebon Ratu,4.4,1227,"F777+24Q, Keplaksari, Peterongan, Nglungge, Keplaksari, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61481, Indonesia",,-7.5374171,112.2628632,Open 24 hours,,
Arema Blue Village,4.5,893,"2J9Q+F3G, Kiduldalem, Klojen, Malang City, East Java 65119, Indonesia",,-7.981305099999999,112.6376925,,,https://kampungbiruaremangalam.blogspot.com/
Lembah Dieng Gempol,4.6,291,"CM4C+8M7, Area Sawah/Kebun, Jeruk Purut, Kec. Gempol, Pasuruan, Jawa Timur 67155, Indonesia",,-7.5942,112.6716651,,,http://www.goweserpandaan.wordpress.com/
Sumber Umbul Gemulo,4.7,244,"5G5H+QF3, Punten, Bumiaji, Batu City, East Java 65338, Indonesia",,-7.840608499999999,112.5286591,5 AM–8 PM,,
